iter	Passed	Remaining
1304	26763	3999
1305	26783	3978
1306	26800	3957
1307	26818	3936
1308	26838	3916
1309	26860	3895
1310	26880	3875
1311	26900	3854
1312	26919	3833
1313	26938	3813
1314	26957	3792
1315	26981	3772
1316	27003	3752
1317	27029	3732
1318	27053	3712
1319	27073	3691
1320	27092	3671
1321	27112	3650
1322	27131	3629
1323	27150	3609
1324	27169	3588
1325	27189	3567
1326	27208	3547
1327	27228	3526
1328	27246	3505
1329	27264	3484
1330	27279	3463
1331	27300	3443
1332	27319	3422
1333	27338	3401
1334	27359	3381
1335	27388	3362
1336	27411	3341
1337	27437	3322
1338	27461	3301
1339	27490	3282
1340	27514	3262
1341	27552	3243
1342	27587	3225
1343	27624	3206
1344	27657	3187
1345	27681	3167
1346	27701	3146
1347	27720	3125
1348	27740	3105
1349	27767	3085
1350	27786	3064
1351	27805	3043
1352	27825	3023
1353	27844	3002
1354	27862	2981
1355	27881	2960
1356	27900	2940
1357	27918	2919
1358	27935	2898
1359	27955	2877
1360	27974	2857
1361	27995	2836
1362	28015	2815
1363	28034	2795
1364	28053	2774
1365	28072	2753
1366	28091	2733
1367	28109	2712
1368	28129	2691
1369	28148	2671
1370	28167	2650
1371	28186	2629
1372	28205	2608
1373	28223	2588
1374	28242	2567
1375	28266	2547
1376	28286	2526
1377	28306	2506
1378	28324	2485
1379	28343	2464
1380	28361	2443
1381	28380	2423
1382	28399	2402
1383	28420	2382
1384	28438	2361
1385	28459	2340
1386	28478	2320
1387	28499	2299
1388	28521	2279
1389	28539	2258
1390	28557	2237
1391	28569	2216
1392	28587	2195
1393	28606	2175
1394	28627	2154
1395	28644	2134
1396	28662	2113
1397	28680	2092
1398	28698	2071
1399	28716	2051
1400	28736	2030
1401	28754	2009
1402	28773	1989
1403	28793	1968
1404	28812	1948
1405	28834	1927
1406	28854	1907
1407	28873	1886
1408	28892	1866
1409	28913	1845
1410	28934	1825
1411	28957	1804
1412	28977	1784
1413	28997	1763
1414	29016	1743
1415	29049	1723
1416	29085	1703
1417	29113	1683
1418	29133	1663
1419	29155	1642
1420	29174	1621
1421	29196	1601
1422	29215	1580
1423	29236	1560
1424	29263	1540
1425	29284	1519
1426	29303	1499
1427	29323	1478
1428	29342	1457
1429	29361	1437
1430	29381	1416
1431	29400	1396
1432	29418	1375
1433	29437	1354
1434	29456	1334
1435	29476	1313
1436	29494	1293
1437	29513	1272
1438	29532	1251
1439	29551	1231
1440	29572	1210
1441	29592	1190
1442	29612	1169
1443	29631	1149
1444	29650	1128
1445	29668	1107
1446	29689	1087
1447	29710	1066
1448	29727	1046
1449	29745	1025
1450	29767	1005
1451	29786	984
1452	29806	964
1453	29826	943
1454	29845	923
1455	29863	902
1456	29882	881
1457	29902	861
1458	29921	840
1459	29939	820
1460	29958	799
1461	29977	779
1462	29998	758
1463	30018	738
1464	30037	717
1465	30057	697
1466	30079	676
1467	30099	656
1468	30119	635
1469	30138	615
1470	30156	594
1471	30166	573
1472	30187	553
1473	30203	532
1474	30222	512
1475	30243	491
1476	30263	471
1477	30286	450
1478	30308	430
1479	30326	409
1480	30346	389
1481	30364	368
1482	30381	348
1483	30400	327
1484	30420	307
1485	30437	286
1486	30458	266
1487	30476	245
1488	30498	225
1489	30518	204
1490	30538	184
1491	30558	163
1492	30578	143
1493	30598	122
1494	30616	102
1495	30634	81
1496	30652	61
1497	30671	40
1498	30690	20
1499	30709	0
